Periodo, Nacional , GBA , Pampeana , Noroeste , Noreste , Cuyo , Patagonia , REM Nacional 
mar-00,-0.005 ,,,,,,,
feb-00, -   ,,,,,,,
ene-00, 0.008 ,,,,,,,
dic-99,-0.001 ,,,,,,,
nov-99,-0.003 ,,,,,,,
oct-99, -   ,,,,,,,
sep-99,-0.002 ,,,,,,,
ago-99,-0.004 ,,,,,,,
jul-99, 0.002 ,,,,,,,
jun-99, -   ,,,,,,,
may-99,-0.005 ,,,,,,,
abr-99,-0.001 ,,,,,,,
mar-99,-0.008 ,,,,,,,
feb-99,-0.002 ,,,,,,,
ene-99, 0.005 ,,,,,,,
dic-98, -   ,,,,,,,
nov-98,-0.002 ,,,,,,,
oct-98,-0.004 ,,,,,,,
sep-98, -   ,,,,,,,
ago-98, -   ,,,,,,,
jul-98, 0.003 ,,,,,,,
jun-98, 0.002 ,,,,,,,
may-98,-0.001 ,,,,,,,
abr-98, -   ,,,,,,,
mar-98,-0.001 ,,,,,,,
feb-98, 0.003 ,,,,,,,
ene-98, 0.006 ,,,,,,,
dic-97, 0.002 ,,,,,,,
nov-97,-0.002 ,,,,,,,
oct-97,-0.002 ,,,,,,,
sep-97, -   ,,,,,,,
ago-97, 0.002 ,,,,,,,
jul-97, 0.002 ,,,,,,,
jun-97, 0.002 ,,,,,,,
may-97,-0.001 ,,,,,,,
abr-97,-0.003 ,,,,,,,
mar-97,-0.005 ,,,,,,,
feb-97, 0.004 ,,,,,,,
ene-97, 0.005 ,,,,,,,
dic-96,-0.003 ,,,,,,,
nov-96,-0.002 ,,,,,,,
oct-96, 0.005 ,,,,,,,
sep-96, 0.002 ,,,,,,,
ago-96,-0.001 ,,,,,,,
jul-96, 0.005 ,,,,,,,
jun-96, -   ,,,,,,,
may-96,-0.001 ,,,,,,,
abr-96, -   ,,,,,,,
mar-96,-0.005 ,,,,,,,
feb-96,-0.003 ,,,,,,,
ene-96, 0.003 ,,,,,,,
dic-95, 0.001 ,,,,,,,
nov-95,-0.002 ,,,,,,,
oct-95, 0.003 ,,,,,,,
sep-95, 0.002 ,,,,,,,
ago-95,-0.002 ,,,,,,,
jul-95, 0.004 ,,,,,,,
jun-95,-0.002 ,,,,,,,
may-95, -   ,,,,,,,
abr-95, 0.005 ,,,,,,,
mar-95,-0.004 ,,,,,,,
feb-95, -   ,,,,,,,
ene-95, 0.012 ,,,,,,,
dic-94, 0.002 ,,,,,,,
nov-94, 0.002 ,,,,,,,
oct-94, 0.003 ,,,,,,,
sep-94, 0.007 ,,,,,,,
ago-94, 0.002 ,,,,,,,
jul-94, 0.009 ,,,,,,,
jun-94, 0.004 ,,,,,,,
may-94, 0.003 ,,,,,,,
abr-94, 0.002 ,,,,,,,
mar-94, 0.001 ,,,,,,,
feb-94, -   ,,,,,,,
ene-94, 0.001 ,,,,,,,
,,,,,,,,
